frame,time_s,ball_x,ball_y,ball_w,ball_h,cross_x,cross_y
1002,16.7,1017.0,821.0,11.0,10.0,960,540
1003,16.717,,,,,960,540
1004,16.733,1131.0,509.0,9.0,9.0,960,540
1005,16.75,1125.0,509.0,9.0,9.0,960,540
1006,16.767,1120.0,509.0,9.0,9.0,960,540
1007,16.783,1120.0,510.0,9.0,9.0,960,540
1008,16.8,1119.0,510.0,9.0,9.0,960,540
1009,16.817,1119.0,509.0,9.0,9.0,960,540
1010,16.833,1118.0,510.0,9.0,9.0,960,540
1011,16.85,1116.0,510.0,9.0,9.0,960,540
1012,16.867,1112.0,512.0,9.0,9.0,960,540
1013,16.883,1112.0,511.0,9.0,9.0,960,540
1014,16.9,1111.0,512.0,9.0,9.0,960,540
1015,16.917,1112.0,512.0,9.0,9.0,960,540
1016,16.933,1112.0,512.0,9.0,9.0,960,540
1017,16.95,1113.0,512.0,9.0,9.0,960,540
1018,16.967,1112.0,513.0,9.0,9.0,960,540
1019,16.983,1112.0,511.0,9.0,9.0,960,540
1020,17.0,1105.0,512.0,9.0,9.0,960,540
1021,17.017,1096.0,510.0,9.0,9.0,960,540
1022,17.033,,,,,960,540
1023,17.05,1025.0,558.0,10.0,9.0,960,540
1024,17.067,1011.0,555.0,10.0,9.0,960,540
1025,17.083,1001.0,553.0,10.0,9.0,960,540
1026,17.1,,,,,960,540
1027,17.117,859.0,803.0,10.0,9.0,960,540
1028,17.133,851.0,799.0,10.0,9.0,960,540
1029,17.15,849.0,798.0,10.0,9.0,960,540
1030,17.167,848.0,797.0,10.0,9.0,960,540
1031,17.183,846.0,796.0,10.0,9.0,960,540
1032,17.2,845.0,796.0,10.0,9.0,960,540
1033,17.217,844.0,795.0,10.0,9.0,960,540
1034,17.233,844.0,796.0,10.0,9.0,960,540
1035,17.25,844.0,795.0,10.0,9.0,960,540
1036,17.267,844.0,795.0,10.0,9.0,960,540
1037,17.283,844.0,795.0,10.0,9.0,960,540
1038,17.3,844.0,795.0,10.0,9.0,960,540
1039,17.317,844.0,795.0,10.0,9.0,960,540
1040,17.333,844.0,795.0,10.0,9.0,960,540
1041,17.35,843.0,797.0,10.0,9.0,960,540
1042,17.367,840.0,801.0,10.0,9.0,960,540
1043,17.383,837.0,808.0,10.0,9.0,960,540
1044,17.4,832.0,815.0,10.0,9.0,960,540
1045,17.417,825.0,823.0,10.0,9.0,960,540
1046,17.433,819.0,828.0,10.0,9.0,960,540
1047,17.45,812.0,832.0,10.0,9.0,960,540
1048,17.467,809.0,835.0,10.0,9.0,960,540
1049,17.483,807.0,837.0,10.0,9.0,960,540
1050,17.5,804.0,840.0,10.0,9.0,960,540
1051,17.517,803.0,842.0,10.0,9.0,960,540
1052,17.533,802.0,842.0,10.0,9.0,960,540
1053,17.55,801.0,844.0,10.0,9.0,960,540
1054,17.567,801.0,844.0,10.0,9.0,960,540
1055,17.583,800.0,844.0,10.0,9.0,960,540
1056,17.6,800.0,845.0,10.0,9.0,960,540
1057,17.617,800.0,845.0,10.0,9.0,960,540
1058,17.633,800.0,845.0,10.0,9.0,960,540
1059,17.65,800.0,845.0,10.0,9.0,960,540
1060,17.667,800.0,845.0,10.0,9.0,960,540
1061,17.683,799.0,846.0,10.0,9.0,960,540
1062,17.7,799.0,845.0,10.0,9.0,960,540
1063,17.717,797.0,845.0,10.0,9.0,960,540
1064,17.733,791.0,840.0,10.0,9.0,960,540
1065,17.75,,,,,960,540
1066,17.767,732.0,739.0,9.0,10.0,960,540
1067,17.783,,,,,960,540
1068,17.8,657.0,710.0,11.0,9.0,960,540
1069,17.817,,,,,960,540
1070,17.833,579.0,682.0,12.0,10.0,960,540
1071,17.85,,,,,960,540
1072,17.867,628.0,879.0,13.0,11.0,960,540
1073,17.883,,,,,960,540
1074,17.9,584.0,866.0,13.0,12.0,960,540
1075,17.917,571.0,861.0,13.0,12.0,960,540
1076,17.933,556.0,856.0,13.0,12.0,960,540
1077,17.95,548.0,852.0,13.0,12.0,960,540
1078,17.967,540.0,848.0,13.0,12.0,960,540
1079,17.983,535.0,845.0,13.0,12.0,960,540
1080,18.0,531.0,841.0,13.0,12.0,960,540
1081,18.017,529.0,838.0,13.0,12.0,960,540
1082,18.033,526.0,834.0,13.0,12.0,960,540
1083,18.05,524.0,831.0,13.0,12.0,960,540
1084,18.067,522.0,829.0,13.0,12.0,960,540
1085,18.083,521.0,827.0,13.0,12.0,960,540
1086,18.1,522.0,826.0,13.0,12.0,960,540
1087,18.117,522.0,825.0,13.0,12.0,960,540
1088,18.133,522.0,824.0,13.0,12.0,960,540
1089,18.15,522.0,824.0,13.0,12.0,960,540
1090,18.167,522.0,824.0,13.0,12.0,960,540
1091,18.183,522.0,823.0,13.0,12.0,960,540
1092,18.2,522.0,823.0,13.0,12.0,960,540
1093,18.217,522.0,823.0,13.0,12.0,960,540
1094,18.233,522.0,823.0,13.0,12.0,960,540
1095,18.25,523.0,824.0,13.0,12.0,960,540
1096,18.267,520.0,829.0,13.0,12.0,960,540
1097,18.283,513.0,839.0,13.0,12.0,960,540
1098,18.3,499.0,858.0,13.0,12.0,960,540
1099,18.317,486.0,873.0,13.0,12.0,960,540
1100,18.333,473.0,886.0,13.0,12.0,960,540
1101,18.35,463.0,898.0,13.0,12.0,960,540
1102,18.367,452.0,910.0,13.0,12.0,960,540
1103,18.383,445.0,917.0,13.0,12.0,960,540
1104,18.4,438.0,923.0,13.0,12.0,960,540
1105,18.417,434.0,925.0,13.0,12.0,960,540
1106,18.433,432.0,927.0,13.0,12.0,960,540
1107,18.45,429.0,929.0,13.0,12.0,960,540
1108,18.467,425.0,931.0,13.0,12.0,960,540
1109,18.483,419.0,934.0,13.0,12.0,960,540
1110,18.5,411.0,938.0,13.0,12.0,960,540
1111,18.517,405.0,941.0,13.0,12.0,960,540
1112,18.533,401.0,944.0,13.0,12.0,960,540
1113,18.55,394.0,947.0,13.0,12.0,960,540
1114,18.567,391.0,948.0,13.0,12.0,960,540
1115,18.583,388.0,949.0,13.0,12.0,960,540
1116,18.6,388.0,949.0,13.0,12.0,960,540
1117,18.617,388.0,950.0,13.0,12.0,960,540
1118,18.633,388.0,950.0,13.0,12.0,960,540
1119,18.65,389.0,950.0,13.0,12.0,960,540
1120,18.667,388.0,950.0,13.0,12.0,960,540
1121,18.683,388.0,950.0,13.0,12.0,960,540
1122,18.7,394.0,946.0,13.0,12.0,960,540
1123,18.717,,,,,960,540
1124,18.733,474.0,899.0,16.0,14.0,960,540
1125,18.75,,,,,960,540
1126,18.767,634.0,789.0,12.0,10.0,960,540
1127,18.783,,,,,960,540
1128,18.8,661.0,581.0,11.0,9.0,960,540
1129,18.817,,,,,960,540
1130,18.833,,,,,960,540
1131,18.85,,,,,960,540
1132,18.867,768.0,398.0,10.0,9.0,960,540
1133,18.883,778.0,390.0,10.0,9.0,960,540
1134,18.9,785.0,385.0,10.0,9.0,960,540
1135,18.917,788.0,383.0,9.0,8.0,960,540
1136,18.933,791.0,383.0,9.0,8.0,960,540
1137,18.95,792.0,382.0,9.0,8.0,960,540
1138,18.967,793.0,379.0,9.0,8.0,960,540
1139,18.983,797.0,376.0,9.0,8.0,960,540
1140,19.0,803.0,373.0,9.0,8.0,960,540
1141,19.017,809.0,369.0,10.0,9.0,960,540
1142,19.033,819.0,364.0,10.0,9.0,960,540
1143,19.05,825.0,360.0,10.0,9.0,960,540
1144,19.067,831.0,355.0,10.0,9.0,960,540
1145,19.083,834.0,353.0,10.0,9.0,960,540
1146,19.1,835.0,352.0,10.0,9.0,960,540
